ID,Name,Winery,Year,Rating,Rates_count,Price,Currency,Discovery_Params
5978015,Wraith  Cabernet Sauvignon,Hundred Acre,2017,4.9,66,1313.0,USD,"US Red, Rating >1, any price"
3151741,Cabernet Sauvignon CCS Beckstoffer To Kalon Vineyard,Schrader,2015,4.9,60,854.0,USD,"US Red, Rating >1, any price"
2729239,Cabernet Sauvignon,MacDonald,2014,4.9,51,1603.0,USD,"US Red, Rating >1, any price"
4110288,Few and Far Between Cabernet Sauvignon,Hundred Acre,2017,4.9,38,1187.0,USD,"US Red, Rating >1, any price"
3151739,Cabernet Sauvignon LPV Beckstoffer Las Piedras Vineyard,Schrader,2016,4.9,29,751.0,USD,"US Red, Rating >1, any price"
12086,575 OVX Cabernet Sauvignon,Gargiulo,2014,4.9,27,541.0,USD,"US Red, Rating >1, any price"
1134337,Abacus Cabernet Sauvignon,ZD Wines,0,4.8,666,699.99,USD,"US Red, Rating >1, any price"
2104668,Cabernet Sauvignon,Tusk,2017,4.8,587,1400.0,USD,"US Red, Rating >1, any price"
2556060,The Absurd,Realm,2021,4.8,489,1060.0,USD,"US Red, Rating >1, any price"
1637962,Ark Vineyard Cabernet Sauvignon,Hundred Acre,2013,4.8,398,1166.0,USD,"US Red, Rating >1, any price"
3190767,Cappella Red,Abreu,2017,4.8,362,1678.0,USD,"US Red, Rating >1, any price"
8023,IX Estate Red,Colgin,2013,4.8,329,735.99,USD,"US Red, Rating >1, any price"
1218210,Red,Harlan Estate,2010,4.8,320,2688.0,USD,"US Red, Rating >1, any price"
1611255,Cabernet Sauvignon,Scarecrow,2014,4.8,304,1450.0,USD,"US Red, Rating >1, any price"
82025,Cabernet Sauvignon,Screaming Eagle,2012,4.8,303,3150.0,USD,"US Red, Rating >1, any price"
1274288,Darius II Cabernet Sauvignon,Darioush,2018,4.8,303,823.0,USD,"US Red, Rating >1, any price"
84351,Kayli Morgan Vineyard Cabernet Sauvignon,Hundred Acre,2013,4.8,292,1313.0,USD,"US Red, Rating >1, any price"
3985191,Promontory,Promontory,2016,4.8,272,1149.0,USD,"US Red, Rating >1, any price"
4110291,Deep Time Cabernet Sauvignon,Hundred Acre,2005,4.8,256,1398.95,USD,"US Red, Rating >1, any price"
8075591,Gorgeous Victim Grenache,Sine Qua Non,2017,4.8,248,351.0,USD,"US Red, Rating >1, any price"
4029023,Black Magic Cabernet Sauvignon,TOR,2022,4.8,230,551.08,USD,"US Red, Rating >1, any price"
1182309,Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,Schrader,2009,4.8,216,671.0,USD,"US Red, Rating >1, any price"
1248773,Fitz Poker Face,Sine Qua Non,2004,4.8,159,849.99,USD,"US Red, Rating >1, any price"
1205238,Red Blend,Ovid,2010,4.8,156,379.99,USD,"US Red, Rating >1, any price"
23331,Papa Syrah,Sine Qua Non,2003,4.8,136,597.99,USD,"US Red, Rating >1, any price"
5089513,Rattrapante Grenache,Sine Qua Non,2012,4.8,136,782.24,USD,"US Red, Rating >1, any price"
1271002,Cabernet Sauvignon Pritchard Hill Villa del Lago,Del Dotto,2018,4.8,134,656.0,USD,"US Red, Rating >1, any price"
1695288,Mount Veeder Cabernet Sauvignon,Lokoya,2016,4.8,132,910.0,USD,"US Red, Rating >1, any price"
4379875,Steadfast Cabernet Sauvignon,Reynolds Family Winery,2019,4.8,125,399.99,USD,"US Red, Rating >1, any price"
1403662,The Beast Cabernet Sauvignon,Del Dotto,2017,4.8,122,928.0,USD,"US Red, Rating >1, any price"
1645873,Cabernet Sauvignon Proprietor Grown,Bryant Family Vineyard,2011,4.8,108,688.85,USD,"US Red, Rating >1, any price"
2476816,Stones No. 1,Fairchild Estate,2016,4.8,99,332.0,USD,"US Red, Rating >1, any price"
1134333,St. Eden,BOND,2013,4.8,97,1267.0,USD,"US Red, Rating >1, any price"
2366864,Howell Mountain Cabernet Sauvignon,Lokoya,2012,4.8,97,376.0,USD,"US Red, Rating >1, any price"
1406266,The 17th Nail in My Cranium,Sine Qua Non,2005,4.8,93,2277.0,USD,"US Red, Rating >1, any price"
6314014,Stones No. 3,Fairchild Estate,2015,4.8,92,715.0,USD,"US Red, Rating >1, any price"
4664622,Cabernet Sauvignon Beckstoffer To Kalon Vineyard,Realm,2012,4.8,91,371.0,USD,"US Red, Rating >1, any price"
82061,Into The Dark,Sine Qua Non,2004,4.8,81,1092.0,USD,"US Red, Rating >1, any price"
1203578,Vecina,BOND,2015,4.8,81,1395.0,USD,"US Red, Rating >1, any price"
2344981,Midnight,Sine Qua Non,2001,4.8,78,1999.99,USD,"US Red, Rating >1, any price"
1637812,Helms Vineyard Cabernet Sauvignon,Dana,2007,4.8,77,554.0,USD,"US Red, Rating >1, any price"
1144145,Cabernet Sauvignon Old Sparky Beckstoffer To Kalon,Schrader,2011,4.8,77,1267.0,USD,"US Red, Rating >1, any price"
1822588,Estate Lake William Blend (Cave Fermented),Jarvis,2015,4.8,69,299.99,USD,"US Red, Rating >1, any price"
83718,Spring Mountain District Cabernet Sauvignon,Lokoya,2016,4.8,67,391.0,USD,"US Red, Rating >1, any price"
97480,Reserve Cabernet Sauvignon,PlumpJack,2016,4.8,66,828.0,USD,"US Red, Rating >1, any price"
7618790,The Hexe,Saxum,2016,4.8,65,291.0,USD,"US Red, Rating >1, any price"
7375790,Cabernet Sauvignon,Senses Wines,2021,4.8,63,305.54,USD,"US Red, Rating >1, any price"
4092958,Hexameter,Ovid,2018,4.8,61,339.48,USD,"US Red, Rating >1, any price"
82034,In Flagrante,Sine Qua Non,2000,4.8,60,2199.99,USD,"US Red, Rating >1, any price"
82063,Ventriloquist,Sine Qua Non,2001,4.8,58,1999.99,USD,"US Red, Rating >1, any price"
1671142,Rattlesnake Cabernet Sauvignon,Barnett,2021,4.8,57,204.99,USD,"US Red, Rating >1, any price"
1618128,Panek Vineyard Cabernet Sauvignon,Pulido-Walker,2013,4.8,53,1549.95,USD,"US Red, Rating >1, any price"
79993,Thorevilos Cabernet Sauvignon,Abreu,2013,4.8,53,1267.0,USD,"US Red, Rating >1, any price"
9045323,Penultimate,Promontory,2015,4.8,52,775.0,USD,"US Red, Rating >1, any price"
